distance,T
1.67843,649.982
1.68015,649.813
1.68187,649.644
1.6836,649.479
1.68533,649.318
1.68705,649.157
1.68878,648.996
1.6905,648.834
1.69222,648.673
1.69395,648.484
1.69568,648.289
1.6974,648.093
1.69913,647.898
1.70085,647.703
1.70257,647.488
1.7043,647.225
1.70603,646.963
1.70775,646.701
1.70948,646.439
1.7112,646.176
1.71293,645.914
1.71465,645.651
1.71637,645.389
1.7181,645.126
1.71983,644.994
1.72155,644.862
1.72328,644.73
1.725,644.598
